Zoo Name,Location,City,State,SpeciesID,Species Name,Opening Balance - Male,Opening Balance - Female,Opening Balance - Unknown Sex,Opening Balance - Total,Birth - Male,Birth - Female,Birth - Unknown Sex,Acquisition - Male,Acquisition - Female,Acquisition - Unknown Sex,Death - Male,Death - Female,Death - Unknown Sex,Disposal - Male,Disposal - Female,Disposal - Unknown Sex,Closing Balance - Male,Closing Balance - Female,Closing Balance - Unknown Sex,Closing Balance - Total,Zoo Size,Total_Birth,Total_Acquisition,Total_Death,Total_Disposal,Calculated_Closing,Reporting_Error,Zone,Net_Growth,Is_Endangered,Mortality_Rate
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,1.0,Alexandrine (Psittacula ) Parakeet eupatria,22.0,22.0,10.0,54.0,15.0,8.0,9.0,2.0,7.0,8.0,9.0,5.0,14.0,12.0,7.0,2.0,22.0,22.0,9.0,53.0,Large,32.0,17.0,28.0,21.0,54.0,True,South,0.0,False,0.52
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,2.0,Asian Openbill (Anastomus ) oscitans,12.0,8.0,6.0,14.0,14.0,13.0,14.0,15.0,10.0,7.0,10.0,9.0,15.0,2.0,10.0,15.0,10.0,8.0,10.0,9.0,Large,41.0,32.0,34.0,27.0,26.0,True,South,12.0,False,2.43
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,3.0,Black Swan (Cygnus ) atratus,3.0,7.0,13.0,3.0,11.0,15.0,9.0,3.0,14.0,2.0,5.0,2.0,13.0,6.0,11.0,9.0,2.0,12.0,5.0,2.0,Large,35.0,19.0,20.0,26.0,11.0,True,South,8.0,False,6.67
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,4.0,Black-crowned (Nycticorax ) Night Heron nycticorax,12.0,12.0,163.0,163.0,2.0,7.0,9.0,14.0,5.0,5.0,2.0,9.0,14.0,8.0,4.0,3.0,7.0,5.0,163.0,163.0,Large,18.0,24.0,25.0,15.0,165.0,True,South,2.0,False,0.15
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,5.0,Black-headed Ibis (Threskiorni ) s melanocep halus,2.0,3.0,4.0,4.0,6.0,5.0,7.0,8.0,6.0,10.0,9.0,9.0,12.0,2.0,9.0,13.0,6.0,13.0,4.0,4.0,Large,18.0,24.0,30.0,24.0,-8.0,True,South,-12.0,False,7.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,6.0,Blossom-headed (Psittacula ) Parakeet roseata,6.0,7.0,3.0,5.0,9.0,15.0,6.0,14.0,3.0,9.0,4.0,10.0,6.0,10.0,11.0,2.0,5.0,10.0,2.0,4.0,Large,30.0,26.0,20.0,23.0,18.0,True,South,13.0,False,4.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,7.0,"Blue-and-gold (Ara ) Macaw, ararauna Blue-and-yellow Macaw",6.0,7.0,7.0,9.0,11.0,9.0,5.0,2.0,5.0,9.0,8.0,11.0,15.0,12.0,3.0,9.0,2.0,9.0,7.0,9.0,Large,25.0,16.0,34.0,24.0,-8.0,True,South,-17.0,False,3.78
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,8.0,Brahminy Kite (Haliastur ) indus,12.0,7.0,6.0,6.0,10.0,10.0,10.0,4.0,2.0,13.0,2.0,9.0,10.0,10.0,12.0,3.0,8.0,13.0,3.0,3.0,Large,30.0,19.0,21.0,25.0,9.0,True,South,3.0,False,3.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,9.0,Budgerigar (Melopsittac ) us undulatus,6.0,16.0,59.0,75.0,13.0,3.0,6.0,8.0,3.0,12.0,12.0,14.0,14.0,3.0,15.0,4.0,6.0,16.0,55.0,71.0,Large,22.0,23.0,40.0,22.0,58.0,True,South,-17.0,False,0.53
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,10.0,Cattle Egret (Bubulcus ) ibis,3.0,7.0,4.0,4.0,8.0,12.0,13.0,10.0,6.0,3.0,14.0,15.0,8.0,5.0,5.0,10.0,7.0,7.0,4.0,4.0,Large,33.0,19.0,37.0,20.0,-1.0,True,South,-5.0,False,9.25
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,11.0,"Chestnut-fronted (Ara severus ) Macaw, Severe Macaw",11.0,10.0,2.0,2.0,6.0,12.0,11.0,9.0,2.0,12.0,8.0,13.0,14.0,12.0,4.0,8.0,3.0,9.0,2.0,2.0,Large,29.0,23.0,35.0,24.0,-5.0,True,South,-7.0,False,17.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,12.0,Cockatiel (Nymphicus ) hollandicus,5.0,7.0,6.0,11.0,4.0,5.0,4.0,2.0,10.0,2.0,11.0,15.0,8.0,6.0,9.0,10.0,4.0,14.0,5.0,9.0,Large,13.0,14.0,34.0,25.0,-21.0,True,South,-32.0,False,3.09
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,14.0,"Common Rhea, (Rhea ) Greater Rhea americana",7.0,2.0,14.0,4.0,14.0,2.0,12.0,12.0,9.0,6.0,11.0,11.0,14.0,5.0,11.0,10.0,5.0,2.0,4.0,3.0,Large,28.0,27.0,36.0,26.0,-3.0,True,South,-7.0,False,9.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,15.0,"Common ostrich, (Struthio ) Ostrich camelus",13.0,8.0,14.0,14.0,14.0,3.0,15.0,8.0,15.0,12.0,4.0,15.0,14.0,14.0,10.0,2.0,11.0,13.0,12.0,12.0,Large,32.0,35.0,33.0,26.0,22.0,True,South,8.0,False,2.36
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,16.0,Demoiselle Crane (Grus virgo ),7.0,13.0,9.0,9.0,11.0,14.0,14.0,11.0,8.0,15.0,7.0,11.0,10.0,15.0,12.0,13.0,8.0,12.0,14.0,8.0,Large,39.0,34.0,28.0,40.0,14.0,True,South,5.0,False,3.11
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,17.0,Diamond Dove (Geopelia ) cuneata,2.0,9.0,2.0,4.0,12.0,4.0,14.0,6.0,4.0,12.0,15.0,11.0,3.0,12.0,15.0,15.0,2.0,11.0,2.0,4.0,Large,30.0,22.0,29.0,42.0,-15.0,True,South,-19.0,False,7.25
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,18.0,Eclectus Parrot (Eclectus ) roratus,2.0,2.0,4.0,4.0,6.0,5.0,14.0,5.0,9.0,14.0,9.0,11.0,12.0,10.0,7.0,2.0,2.0,2.0,3.0,4.0,Large,25.0,28.0,32.0,19.0,6.0,True,South,2.0,False,8.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,19.0,Egyptian Vulture (Neophron ) percnopteru s,2.0,4.0,11.0,2.0,7.0,14.0,5.0,6.0,7.0,5.0,13.0,2.0,6.0,11.0,15.0,9.0,14.0,15.0,4.0,2.0,Large,26.0,18.0,21.0,35.0,-10.0,True,South,-12.0,False,10.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,20.0,Emu (Dromaius ) novaehollan diae,2.0,4.0,4.0,6.0,2.0,2.0,5.0,4.0,14.0,7.0,12.0,13.0,8.0,8.0,4.0,2.0,2.0,4.0,2.0,6.0,Large,9.0,25.0,33.0,14.0,-7.0,True,South,-13.0,False,5.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,21.0,*Eurasian Spoonbill (Platalea ) leucorodia,15.0,11.0,11.0,11.0,5.0,2.0,9.0,3.0,13.0,7.0,5.0,15.0,15.0,13.0,2.0,3.0,2.0,11.0,8.0,8.0,Large,16.0,23.0,35.0,18.0,-3.0,True,South,-14.0,False,3.18
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,22.0,Fischer's Lovebird (Agapornis ) fischeri,14.0,14.0,2.0,4.0,11.0,4.0,4.0,5.0,11.0,14.0,12.0,3.0,13.0,5.0,12.0,2.0,7.0,11.0,15.0,2.0,Large,19.0,30.0,28.0,19.0,6.0,True,South,2.0,False,7.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,23.0,Golden Pheasant (Chrysoloph ) us pictus,11.0,7.0,4.0,2.0,12.0,10.0,5.0,4.0,11.0,5.0,10.0,15.0,14.0,2.0,13.0,6.0,3.0,13.0,2.0,2.0,Large,27.0,20.0,39.0,21.0,-11.0,True,South,-13.0,False,19.5
